id,phone,name,default_address,ward,district,city,notes,consent_pdpl,consent_at,created_at,created_by
1,+84903692581,Nguyễn Thị Lan,"1 đường Lê Lợi, Phường Bến Nghé, Quận 1",Phường Bến Nghé,Quận 1,TP. HCM,"Khách quen, thích bánh ít ngọt",FALSE,,2026-03-07T09:00:00,telegram
2,+84370369258,Trần Văn Hùng,"12 đường Lê Lợi, Phường Bến Thành, Quận 1",Phường Bến Thành,Quận 1,TP. HCM,,TRUE,2026-03-08T09:00:00,2026-03-08T09:00:00,staff
3,+84747036925,Lê Thị Mai,"23 đường Lê Lợi, Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,TP. HCM,,TRUE,2026-03-09T09:00:00,2026-03-09T09:00:00,staff
4,+84814703692,Phạm Quốc Bảo,"34 đường Lê Lợi, Phường 7, Quận 3",Phường 7,Quận 3,TP. HCM,,TRUE,2026-03-10T09:00:00,2026-03-10T09:00:00,staff
5,+84581470369,Hoàng Anh Tuấn,"45 đường Lê Lợi, Phường 8, Quận 3",Phường 8,Quận 3,TP. HCM,,TRUE,2026-03-11T09:00:00,2026-03-11T09:00:00,staff
6,+84958147036,Vũ Thị Hồng,"56 đường Lê Lợi, Phường 11, Quận 5",Phường 11,Quận 5,TP. HCM,,TRUE,2026-03-12T09:00:00,2026-03-12T09:00:00,telegram
7,+84325814703,Đặng Minh Khôi,"67 đường Lê Lợi, Phường 1, Quận 6",Phường 1,Quận 6,TP. HCM,,TRUE,2026-03-13T09:00:00,2026-03-13T09:00:00,staff
8,+84792581470,Bùi Thị Thanh,"78 đường Lê Lợi, Phường 9, Quận 10",Phường 9,Quận 10,TP. HCM,,FALSE,,2026-03-14T09:00:00,staff
9,+84869258147,Phan Văn Đức,"89 đường Lê Lợi, Phường 14, Quận 10",Phường 14,Quận 10,TP. HCM,,TRUE,2026-03-15T09:00:00,2026-03-15T09:00:00,staff
10,+84536925814,Trịnh Thu Hà,"100 đường Lê Lợi, Phường 12, Quận Tân Bình",Phường 12,Quận Tân Bình,TP. HCM,"Khách quen, thích bánh ít ngọt",TRUE,2026-03-16T09:00:00,2026-03-16T09:00:00,staff
11,+84903692581,Đỗ Quỳnh Như,"111 đường Lê Lợi, Phường Tân Định, Quận 1",Phường Tân Định,Quận 1,TP. HCM,,TRUE,2026-03-17T09:00:00,2026-03-17T09:00:00,telegram
12,+84370369258,Hồ Mạnh Cường,"122 đường Lê Lợi, Phường 25, Quận Bình Thạnh",Phường 25,Quận Bình Thạnh,TP. HCM,,TRUE,2026-03-18T09:00:00,2026-03-18T09:00:00,staff
13,+84747036925,Ngô Thị Yến,"133 đường Lê Lợi, Phường 26, Quận Bình Thạnh",Phường 26,Quận Bình Thạnh,TP. HCM,,TRUE,2026-03-19T09:00:00,2026-03-19T09:00:00,staff
14,+84814703692,Dương Thanh Tùng,"144 đường Lê Lợi, Phường Thảo Điền, Quận 2 (TP. Thủ Đức)",Phường Thảo Điền,Quận 2 (TP. Thủ Đức),TP. HCM,,TRUE,2026-03-20T09:00:00,2026-03-20T09:00:00,staff
15,+84581470369,Lý Mỹ Linh,"155 đường Lê Lợi, Phường An Phú, Quận 2 (TP. Thủ Đức)",Phường An Phú,Quận 2 (TP. Thủ Đức),TP. HCM,,FALSE,,2026-03-21T09:00:00,staff
16,+84958147036,Đào Văn Tài,"166 đường Lê Lợi, Phường Hàng Bài, Quận Hoàn Kiếm",Phường Hàng Bài,Quận Hoàn Kiếm,Hà Nội,,TRUE,2026-03-22T09:00:00,2026-03-22T09:00:00,telegram
17,+84325814703,Tạ Phương Anh,"177 đường Lê Lợi, Phường Phan Chu Trinh, Quận Hoàn Kiếm",Phường Phan Chu Trinh,Quận Hoàn Kiếm,Hà Nội,,TRUE,2026-03-23T09:00:00,2026-03-23T09:00:00,staff
18,+84792581470,Mai Thị Trang,"188 đường Lê Lợi, Phường Trúc Bạch, Quận Ba Đình",Phường Trúc Bạch,Quận Ba Đình,Hà Nội,,TRUE,2026-03-24T09:00:00,2026-03-24T09:00:00,staff
